Instance,Alpha,Gamma,RandSeed,BestWireLength,Time,Iteration,BestIter,BestCost,reject_times,accept_inferior_times,update_best_times,outline_fail_times,outline_adjust_time,InitialWireLength,InitialAvgWireLength,InitialBestWireLength,InitialTime,InitialIteration,layer_0_width,layer_0_height,layer_0_fillrate,layer_0_userate,layer_1_width,layer_1_height,layer_1_fillrate,layer_1_userate
ICCAD2023_floorplanning_case_2(1),0,1,1,2.81E+07,0.697,0,0,0.524077,0,0,0,0,0.014,3.97E+07,7.57E+07,3.97E+07,0.061,420,22671,17358,0.880736,0.793113,21945,17028,0.868046,0.742267
ICCAD2023_floorplanning_case_2(1),0,1,2,1.46E+07,0.825,0,0,0.345043,0,0,0,0,0.004,2.42E+07,7.28E+07,2.51E+07,0.042,420,20196,17457,0.921878,0.74375,22671,17127,0.890935,0.791619
ICCAD2023_floorplanning_case_2(1),0,1,3,2.94E+07,0.594,0,0,0.622084,0,0,0,0,0.007,5.15E+07,8.27E+07,5.15E+07,0.048,420,22995,18942,0.77208,0.769555,22671,17486,0.844203,0.76582
ICCAD2023_floorplanning_case_2(1),0,1,4,3.41E+07,4.29,0,0,0.756087,0,0,0,0,3.754,7.65E+07,1.01E+08,7.65E+07,3.789,420,22539,18909,0.759902,0.741104,21697,17259,0.926905,0.794272
ICCAD2023_floorplanning_case_2(1),0,1,5,3.28E+07,2.387,0,0,0.706606,0,0,0,0,1.879,6.34E+07,8.97E+07,6.34E+07,1.914,420,22565,17160,0.888365,0.787159,21648,17358,0.870148,0.74822
ICCAD2023_floorplanning_case_2(1),0,1,6,2.56E+07,0.499,0,0,0.638647,0,0,0,0,0.007,5.74E+07,8.98E+07,5.74E+07,0.044,420,22935,18949,0.790894,0.786542,22968,17358,0.820817,0.748838
ICCAD2023_floorplanning_case_2(1),0,1,7,3.39E+07,0.531,0,0,0.813371,0,0,0,0,0.078,6.39E+07,7.85E+07,6.39E+07,0.125,420,22176,17156,0.860257,0.748938,22935,18942,0.791084,0.78644
ICCAD2023_floorplanning_case_2(1),0,1,8,2.75E+07,0.573,0,0,0.488505,0,0,0,0,0.125,3.90E+07,7.98E+07,3.90E+07,0.163,420,22605,18942,0.761634,0.746269,22671,17259,0.881314,0.789106
ICCAD2023_floorplanning_case_2(1),0,1,9,3.10E+07,0.635,0,0,0.686981,0,0,0,0,0.065,6.39E+07,9.30E+07,6.39E+07,0.104,420,22044,17127,0.860191,0.743165,22968,17688,0.852163,0.792215
ICCAD2023_floorplanning_case_2(1),0,1,10,1.80E+07,0.455,0,0,0.658981,0,0,0,0,0.002,5.38E+07,8.16E+07,5.38E+07,0.042,420,22011,18612,0.843675,0.790909,19800,17259,0.952033,0.744477
ICCAD2023_floorplanning_case_2(1),0,1,11,2.85E+07,0.59,0,0,0.757725,0,0,0,0,0.014,5.92E+07,7.82E+07,5.92E+07,0.049,420,22671,18774,0.811685,0.790557,22836,18777,0.759079,0.744821
